data0052: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0052_watertight.obj
data0053: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0053_watertight.obj
data0054: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0054_watertight.obj
data0055: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0055_watertight.obj
data0056: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0056_watertight.obj
data0057: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0057_watertight.obj
data0058: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0058_watertight.obj
data0059: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0059_watertight.obj
data0060: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0060_watertight.obj
data0061: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0061_watertight.obj
data0062: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0062_watertight.obj
data0063: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0063_watertight.obj
data0064: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0064_watertight.obj
data0065: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0065_watertight.obj
data0066: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0066_watertight.obj
data0067: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0067_watertight.obj
data0068: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0068_watertight.obj
data0069: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0069_watertight.obj
data0070: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0070_watertight.obj
